Gene1	Gene2	Weight
SNAPC4	SNAPC3	1
NDUFB3	NDUFB11	1
NUP133	NUP98	1
BRCC3	BABAM2	1
SGF29	TADA3	1
RPLP2	RPL7A	1
UVRAG	BECN1	1
OS9	ERLEC1	1
LIN7C	DLG1	1
CPSF4	CPSF3	1
AP5M1	AP5B1	1
DYNC2I2	DYNLRB1	1
NDUFB5	NDUFB7	1
ATP5PB	MT-ATP8	1
HAUS7	HAUS6	1
KARS1	AIMP1	1
SNRPF	RNPC3	1
HDAC1	RREB1	1
SF3B1	CWC15	1
MT-ND5	NDUFB4	1
SNRPB2	ESS2	1
SF3A2	HTATSF1	1
INO80	NFRKB	1
MMP9	TIMP1	1
MPHOSPH10	IMP4	1
CNOT10	CNOT3	1
EPRS1	DARS1	1
RPL37A	RPL28	1
RPSA	RPL26	1
NDUFA6	NDUFAB1	1
BLOC1S1	BLOC1S5	1
MED20	MED8	1
COX15	SURF1	1
CDC40	SNRPD2	1
INO80D	INO80B	1
AP2A1	AP3D1	1
H4C2	CDAN1	1
TOP3A	RPA1	1
POLR1B	POLR1A	1
RPP21	RPP14	1
HMG20B	HDAC1	1
DICER1	RPL12	1
RPS3	RPL29	1
SMARCC1	ACTL6A	1
RPL10A	RPLP1	1
TGFBRAP1	VPS8	1
MRPL30	MRPL52	1
SNRNP40	LSM7	1
MAGOH	RNPS1	1
SNRNP48	SF3B6	1
CNOT3	CNOT6	1
ABI1	ABL1	1
GTF2H1	GTF2E1	1
MED24	MED27	1
APBA1	LIN7A	1
CWC22	NCBP1	1
AURKB	INCENP	1
RNPC3	SF3B6	1
NDUFS7	NDUFAF1	1
RUVBL2	ACTR5	1
MRPL18	MRPL55	1
ATP5ME	MT-ATP8	1
SRPK1	ILF2	1
CENPT	CENPQ	1
CCT7	TCP1	1
HOOK3	HOOK2	1
GRB2	SHC1	1
KSR1	BRAF	1
ATG14	PIK3C3	1
ARPC3	ACTR2	1
RPS16	RPL37	1
MT-ATP8	ATP5PD	1
STRAP	GEMIN7	1
FAM8A1	HSPA5	1
CPSF3	CSTF2	1
INTS4	INTS2	1
MED11	MED25	1
