UniProt1	UniProt2	Weight
Q5SXM2	Q92966	1
O43676	Q9NX14	1
Q8WUM0	P52948	1
P46736	Q9NXR7	1
Q96ES7	O75528	1
P05387	P62424	1
Q9P2Y5	Q14457	1
Q13438	Q96DZ1	1
Q9NUP9	Q12959	1
O95639	Q9UKF6	1
Q9H0R1	Q2VPB7	1
Q96EX3	Q9NP97	1
O43674	P17568	1
P24539	P03928	1
Q99871	Q7Z4H7	1
Q15046	Q12904	1
P62306	Q96LT9	1
Q13547	Q92766	1
O75533	Q9P013	1
P03915	O95168	1
P08579	Q96DF8	1
Q15428	O43719	1
Q9ULG1	Q6P4R8	1
P14780	P01033	1
O00566	Q96G21	1
Q9H9A5	O75175	1
P07814	P14868	1
P61513	P46779	1
P08865	P61254	1
P56556	O14561	1
P78537	Q8TDH9	1
Q9H944	Q96G25	1
Q7KZN9	Q15526	1
O60508	P62316	1
Q53TQ3	Q9C086	1
O95782	O14617	1
P62805	Q8IWY9	1
Q13472	P27694	1
Q9H9Y6	O95602	1
Q9H633	O95059	1
Q9P0W2	Q13547	1
Q9UPY3	P30050	1
P23396	P47914	1
Q92922	O96019	1
P62906	P05386	1
Q8WUH2	Q8N3P4	1
Q8TCC3	Q86TS9	1
Q96DI7	Q9UK45	1
P61326	Q15287	1
Q6IEG0	Q9Y3B4	1
O75175	Q9ULM6	1
Q8IZP0	P00519	1
P32780	P29083	1
O75448	Q6P2C8	1
Q02410	O14910	1
Q9HCG8	Q09161	1
Q96GD4	Q9NQS7	1
Q96LT9	Q9Y3B4	1
O75251	Q9Y375	1
Q9Y230	Q9H9F9	1
Q9H0U6	Q7Z7F7	1
P56385	P03928	1
Q96SB4	Q12905	1
Q96BT3	Q7L2Z9	1
Q99832	P17987	1
Q86VS8	Q96ED9	1
P62993	P29353	1
Q8IVT5	P15056	1
Q6ZNE5	Q8NEB9	1
O15145	P61160	1
P62249	P61927	1
P03928	O75947	1
Q9Y3F4	Q9H840	1
Q9UBU6	P11021	1
Q9UKF6	P33240	1
Q96HW7	Q9H0H0	1
Q9P086	Q71SY5	1
P25963	Q8NFZ5	1
Q99459	Q9BUQ8	1
O75533	P67809	1
P84098	P63173	1
O15371	P55884	1
P50914	P05386	1
Q07021	P33991	1
P03915	Q9Y6M9	1
Q6P9F7	Q8TDW0	1
Q02543	P49207	1
Q96JC1	Q9H269	1
A0JLT2	Q9BTT4	1
P18077	P50914	1
Q15696	P67809	1
Q9UIV1	Q9UKZ1	1
Q96L91	Q9Y230	1
P49005	P28340	1
Q9UQE7	Q8WVM7	1
Q9UI09	O14561	1
Q92643	Q9H490	1
Q9UIV1	Q9NZN8	1
P25705	P00846	1
P50914	P26373	1
Q9NWB7	Q9UG01	1
Q9UBU8	Q9Y4A5	1
Q96JG6	Q8N1B4	1
Q13547	Q9UBB5	1
