Complexes(Gene Name)	Min-p-value	Avg-p-value	Number-of-resources
UGT2B15;UGT2A1;UGT2A3	2.86994913245e-05	0.00450964667634423	17
GCKR;GCK	0.000638525719679	0.012368555686114223	9
ACSM2B;ACSM2A	1.57272344749e-05	0.015258197441782232	18
OR2T33;OR2T12	0.000864811338578	0.0150100259434095	4
OBP2A;OBP2B	Null	Null	0
LEFTY2;LEFTY1	1.91210061247e-05	0.0006540757587432333	9
GMPR;GMPR2	Null	Null	0
NOVA2;NOVA1	Null	Null	0
TERB2;MAJIN	0.000396326308767	0.0009058887057525714	7
UGT2B11;UGT2B10;UGT2B28	3.75705357687e-08	0.007841226692922556	30
ABCC8;ABCC9	9.43634068492e-06	0.021380502565345988	19
ABCC12;ABCC11	9.10183867719e-05	9.10183867719e-05	1
IFNL2;IFNL1	1.56444595566e-05	0.0019480896627016	6
FOLR3;FOLR2	4.09992733207e-05	0.015763118372409672	7
CXCL3;CXCL1;CXCL2	5.20450790228e-07	0.00798466992739431	44
OR4A15;OR4D2	Null	Null	0
DCAF12L1;DCAF12L2	0.0447314549968	0.0447314549968	1
WNT3A;WNT3	0.000206854520804	0.006994653967763939	33
GABRG2;GABRG1	4.79691497852e-05	0.013607006380889972	17
TRPC3;TRPC7	1.57272344749e-06	0.010106714054413043	16
PDE1B;PDE1C;PDE1A	1.58430870489e-09	0.002467114386468254	30
CT45A10;CT45A1	0.047559157052	0.047559157052	2
DDX43;DDX53	Null	Null	0
STEAP1B;STEAP1	Null	Null	0
TPH1;TPH2	9.43634068492e-06	0.010345024643118414	25
GUCY2D;GUCY2F	3.7719331455e-05	0.018720816094774217	14
ELFN2;ELFN1	Null	Null	0
PACRG;MEIG1	Null	Null	0
GRM7;GRM4	1.25155676453e-05	0.01647797163628027	16
PDE6B;PDE6A	3.7719331455e-05	0.014461446481459672	32
EOMES;OTP	Null	Null	0
FGF20;FGF9	4.71817034246e-06	0.003922194633680377	80
TAGLN2;TAGLN3	Null	Null	0
CYP3A5;CYP3A4;CYP3A7	7.48585863061e-08	0.006506772023428678	49
PRSS1;PRSS3;PRSS3P2	0.000213890388858	0.00514808537562	7
CRYGB;CRYGC	3.61863151483e-05	0.009738171386900116	6
REG1A;REG1B	0.0023779578526	0.0214016206734	3
