Complexes(Gene Name)	Min-p-value	Avg-p-value	Number-of-resources
HERC6;UBE2L6	1	1	0
MS4A13;ODF4	1	1	0
CPPED1;GTSF1	1	1	0
PMP22;CLDN18	0.0499622784796	0.0499622784796	2
DTX3L;PARP9	1.57272344749e-06	0.019084549685684276	7
TMPRSS11A;PSG3	1	1	0
COL9A3;COL9A2	1.03389471852e-06	0.00846023748135865	85
GADL1;UBL7	0.0217015986899	0.0325455648226	2
CDH24;CDH4;CDH10;CDH12	1.1185027927e-09	0.00683124410090866	18
TBX3;TBX2	0.0011889789263	0.026589511085458886	9
PDZD4;IKZF3	1	1	0
UBE2F;GAB1	0.0499607057562	0.0499607057562	1
TDRD3;PRMT5	0.0249811392398	0.04163418358406667	6
PREX2;RHOG	0.0454831621013	0.0454831621013	1
SRP9;SRP19	3.15694404569e-05	0.0067901628873113795	5
ETV6;ETV7	0.00194008561353	0.00194008561353	1
EMC9;EMC8	0.0178346838945	0.0239116872956	3
NEFL;NEFM	1	1	0
ADH7;ANXA8	1	1	0
DUSP10;MAPK9	0.00435658278306	0.00595660220177	2
CNBP;YBX3	0.0217979469822	0.0358801127309	2
TRNT1;TSFM;ELAC2	6.29010163559e-05	0.011960325092004353	11
PRKAG1;PRKAG2;PRKAB2;PRKAB1	9.42684627957e-12	0.0021878495995587485	72
ZNF718;ZNF195	0.0114027178959	0.0114027178959	1
ETV4;ERF	0.0499622784796	0.0499622784796	2
SECISBP2;ZNF770	1	1	0
ITPR2;ITPR3	7.07725551369e-05	0.005443890847401273	91
LRIG1;LRIG3;LINGO1	0.0442918015629	0.046475556003133335	3
TROAP;ANKHD1	1	1	0
TMPPE;ST7L;PTCHD3;FAM189B	1	1	0
LCE1B;KRTAP5-11;KRTAP5-7;KRTAP4-4;KRTAP9-2;KRTAP9-3;KRTAP10-1;KRTAP1-3;KRTAP1-1;KRTAP9-8;KRTAP2-3;KRTAP4-5;KRTAP5-6;KRTAP4-11;KRTAP10-7;KRTAP5-9;LCE1A;LCE2B;KRTAP5-2;LCE1E;LCE2C;LCE1F;LCE5A;LCE4A;LCE2D;LCE1C;SMCP;LCE1D;LCE3A;LCE3B;KRTAP4-2;KRTAP3-2;KRTAP10-5;KRTAP12-1;LCE2A;KRTAP10-8;KRTAP10-9;KRTAP4-12;KRTAP2-4;LCE3C;KRTAP5-3;KRTAP11-1	1.13894307208e-75	0.002553986944897398	77
RPS10;RPS9	0.000684134699657	0.010138910476196573	35
TRAPPC1;TRAPPC6A;TRAPPC11;TRAPPC8;TRAPPC3;TRAPPC6B;TRAPPC2L;TRAPPC4;TRAPPC12;TRAPPC5;TRAPPC10	1.38717644668e-35	0.00299122262626276	46
PI4K2B;ARHGEF1	0.0499607057562	0.0499607057562	1
NARS2;PDK2;IARS2;LONP1;DARS2	3.15532486464e-06	0.01751798861622253	32
CENPP;ITGB3BP;CENPQ;CENPC;CENPT;CENPO;CENPN;CENPH;CENPU	1.77106160315e-28	0.0015801143235263152	69
PPP6R2;UCKL1;PANK4;MAP2K7	1	1	0
STX6;STX16;STX10	6.42239141245e-06	0.01645453138900437	23
SALL1;SALL3;SALL2	1	1	0
SF3B4;ZMAT5;ZRSR2;PDCD7;SF3B6;SNRNP35;SF3B3;SNRNP48;RNPC3;SNRPD2;SF3B1;ZCRB1;SF3B2;SNRPE;SNRPF;SNRPD1;SNRPB;SF3B5;PRPF8;SNRPD3;SNRPN	1.97324093955e-59	0.005241061417501717	112
MRS2;MTFP1;TMEM126B;PARL;SLC25A23;SLC25A42;SLC25A24;SLC25A6;SLC25A35;SLC25A51;SLC25A40;SLC25A15;SURF1	4.02492926566e-07	0.006279300522598579	21
HOXA6;HOXB4	1	1	0
THBS4;COMP	0.000101268205102	0.022216633829488	15
KRT18;KRT6C;KRT15	9.77934351953e-05	0.01330315226822693	10
NUDT18;GNMT	1	1	0
PPIAL4A;SMS	1	1	0
SLC38A2;DACT3	1	1	0
SPIN2B;SPIN3;SPIN1	0.0029727093208	0.013150208233499999	3
NAGS;TUSC2	0.03471599802	0.04554337789724	5
BFSP1;BFSP2	6.54799988397e-05	8.098841961746667e-05	3
SPANXC;LGALS1	1	1	0
NEMP1;NEMP2	1	1	0
OVCA2;PTPN11	0.033127664593	0.04659441206824	5
BEX4;MAPK14	1	1	0
MACIR;UNC119B	1	1	0
CSTL1;CLSTN1	1	1	0
EMILIN1;C1QL4	1	1	0
TRIP10;CD2AP	1	1	0
NT5DC2;NT5DC3	1	1	0
GALP;ITIH2	1	1	0
ISG20;CSNK1G3	1	1	0
ZBTB9;ZBTB26	1	1	0
EFNB3;EFNB2	0.000112987763464	0.0018953651414336666	6
MON1A;CCZ1B	0.00561462270753	0.008052344051115	2
ZNF106;GNL2	1	1	0
PHACTR4;CDC42BPA	1	1	0
RIPK1;TNFRSF1A	1.57272344749e-05	0.00894048588919233	29
CEP164;SSNA1	0.00358266401337	0.020608234118233332	15
OCIAD1;DCAKD	1	1	0
MBTPS1;TMEM132A	0.00702221019303	0.008139630202465	2
SGSH;NAGLU	9.43634068492e-06	0.011653394946192934	33
STRBP;TARS3	1	1	0
RSPRY1;TBC1D15	0.0499622784796	0.0499622784796	4
OBSL1;CHEK1	0.0496868035517	0.049869405021366664	3
MIS12;PMF1;NSL1;DSN1	5.61121802356e-13	0.0005272411280580469	29
SEMA4G;SEMA6B;SEMA4B	2.11485393298e-05	0.009077655911615558	36
NLRX1;CYP24A1	0.0249811392398	0.036067205092	3
CCT6A;CCT8;CCT5;TCP1;CCT4;CCT7;CCT2;CCT3;CCT6B	1.1478823285e-29	0.0032047589709578365	112
RBM34;RIOX2	1	1	0
IGLC2;FAM25A;IGHV3-23;IGHG4;IGHA2;IGHG3;IGHD;IGHA1;IGHM;IGKC;IGHG1;IGHG2;CFB;SERPING1;CFH;SERPINF2	3.27700745092e-22	0.002114359961174224	128
SPANXD;SPANXA2;SPANXB1	1	1	0
TERB2;MAJIN	0.000396326308767	0.0009058887057525714	7
E2F3;E2F1;E2F2	6.53527340768e-08	0.00876339967665046	65
HES7;TCEANC	0.0496868035517	0.04987045350363333	3
CCNB3;CCNO;CCND3;CCNE2	1.72303896298e-06	0.010335168546811702	32
SPRY3;GNE	0.0249811392398	0.0374717088597	2
DNAAF3;HSPA9	0.0499607057562	0.0499607057562	2
DET1;DDB1	1.57272344749e-05	0.019347136783221225	4
CHAC2;UBE2E3;GAMT	1	1	0
SKOR1;PRKAA1	0.033127664593	0.0415441851746	2
TCEAL9;PPM1A	1	1	0
FXR2;FXR1	0.0011889789263	0.0137844209996	4
SHANK3;ABI2	1	1	0
MLYCD;MMADHC	0.000330271923972	0.01816922463921743	7
SMAD3;SMAD2;SMAD4	1.98038588111e-10	0.010148713372375459	193
SCRN1;AARSD1	1	1	0
PPP1R32;KPRP	1	1	0
NET1;NTAQ1	1	1	0
F5;DDR1	0.0499622784796	0.0499622784796	1
MFSD5;ADIPOR1	1	1	0
RIC3;CLN6	1	1	0
NCS1;PAK2	0.0499607057562	0.0499607057562	2
IRS1;ARHGAP19	0.0441674382201	0.0441674382201	2
ANKRD12;ARMC8	1	1	0
TMEM231;TXNDC15	0.00165240258383	0.025807340531715	2
ARL15;NDRG3	1	1	0
PRPS2;PRPS1L1;PRPSAP2;PRPSAP1	9.42684627957e-11	0.0074936178878579965	24
TASOR;MIS18BP1	1	1	0
IPP;SLAIN1	1	1	0
POU2F2;BRAT1	0.0499607057562	0.0499607057562	1
ARHGAP1;ALOX12B	1	1	0
APOA2;APOA4;APOA1	3.32704828027e-08	0.008117733936077749	121
SPATA5L1;YTHDF1	1	1	0
HMOX1;HMOX2	8.13152254193e-05	0.015466825983136938	11
RSBN1;RSBN1L;ZNF616	0.0140239232734	0.01761636381815	2
ZEB1;ZEB2;LCOR;ZNF217;CTBP2;CTBP1;ZNF516;LCORL;MECOM;PRDM2	2.09415830719e-18	0.010980725860167014	53
GALNT2;CSGALNACT2;TPST1;B4GALNT1;CHST12	2.16597197598e-05	0.013479514377159408	12
ALG8;PEDS1;TMEM39A;PGAP1;PIGB;POMT2;ALG9;LMF2;ALG12	8.67136268611e-09	0.006895622668186644	32
XKR8;TMEM68;ST7;TMEM245;TMEM161B;TMEM164;RFT1;LMBRD2;SLC39A1;SLC35F1;TMEM186;SLC35F2;TLCD4;SLC35F5;LPCAT3;ERMP1;ATP13A3;SC5D;RETREG3;TMEM161A;SLC5A3	1	1	0
GLCE;NDST1;B4GALT4;GALNT6;GALNT18;LARGE2;MAN2A2;GALNT12;CHPF2;MGAT1;B3GNT2;B4GALT3;NDST2;GALNT10;CHSY3;B4GALT6;PXYLP1;ST8SIA4;CHST14;CHST10;GALNT7;ST3GAL6;CHST3;ST6GALNAC4;HS6ST2;TPST2;ST3GAL4;MANEAL;ST6GALNAC3;MGAT2;CHST7;GALNT13;B4GALT7;TPST1;C1GALT1C1;CHSY1;GALNT16;MGAT5;GLT8D2;FUT8;MAN1A1;EXT2;EXT1;B4GALT5	3.63889116613e-52	0.0031298322957479096	158
ZBTB48;ZFP91;ZNF408;ZBTB45;ZBTB39;MAZ;ZXDC;ZNF362;MYNN;VEZF1;ZNF628;ZBTB17;ZNF32;ZBTB44;ZNF497;ZSCAN26;ZNF276;ZNF407;GLI4;ZSCAN2;ZKSCAN2;ZNF555;ZNF341;ZNF398;ZNF623;ZNF775;ZNF419;ZFP64;ZNF263;ZNF260;ZNF664;ZNF594;SP2;ZNF324B;ZNF526;ZNF490;SP1;ZNF823;FIZ1;ZNF672;ZNF253;ZNF709;ZNF783;ZNF707;ZNF787;ZNF780A;ZNF235;ZNF587B;ZNF444;ZNF888;ZNF766;ZNF417;ZSCAN21;ZNF219;ZNF611;ZNF649;ZNF142;ZNF627;ZNF765;ZKSCAN1;ZNF358;ZNF431;ZNF761;ZNF275;ZNF136;ZNF282;ZBTB9;ZNF189;ZNF708;ZNF696;ZNF813;ZNF480;ZNF7;ZNF646;ZC3H3;ZNF592;ZNF146;ZNF518A;ZSCAN25;ZNF107;ZNF483;ZNF689;ZNF121;ZNF460;ZNF512;ZNF746;E4F1;ZNF791;ZNF768;REPIN1;ZNF579;RBAK;CBX6;ZNF48;ZNF446;ZNF317;ZKSCAN8;ZNF397;ZNF430;SUPT3H;ZNF624;ZBTB24;ZNF320;ZNF724;ZNF324;ZNF316;ZNF687;RPL17;ZNF668;ZNF771;PATZ1;ZNF629;ZNF574;RPL10	6.22435790204e-86	0.0038697804560408346	127
UBE2J2;ELOVL7	1	1	0
PHC2;PHC1	4.71817034246e-06	0.012958804339660693	18
CCN3;NID2	0.0499607057562	0.0499607057562	1
ERVFRD-1;SLC41A2	1	1	0
NANOS1;KLHDC8B	0.0499622784796	0.0499622784796	1
MAFB;MAFK;MAFF;MAFG;CREBZF	8.71562363212e-08	0.01622823410406158	4
RTP2;LIME1	1	1	0
LAMTOR3;LAMTOR2	4.71817034246e-06	0.01184610271622868	19
MTHFD2;MTHFD2L	2.09096293935e-05	0.009071976838446036	14
KLF13;FIZ1	1	1	0
PRMT2;PPM1E	0.0249811392398	0.0249811392398	2
PCLAF;MRFAP1	0.0499607057562	0.0499607057562	2
GPR35;GNA13	1	1	0
RABIF;RAB1A;RAB1B	0.000490463159471	0.021857447769632447	9
CASP6;NT5C3B;SCLY;GMPS	0.0103866972699	0.0278882698829	2
IFNE;BMP4	0.00378969949727	0.0321734557432175	4
F3;VASN	0.0441674382201	0.0441674382201	1
GNE;GAMT	0.0249811392398	0.0374717088597	2
POLE;POLE2	4.40362565296e-05	0.004341755231751264	42
EIF3G;EIF3C;EIF3K;EIF3I;EIF3CL;EIF3L;EIF3F;EIF3D;EIF3B;EIF3H;EIF3M;EIF3E	1.52571786151e-34	0.011868651442513712	144
GPATCH1;WDR83	0.00484556094171	0.00484556094171	1
PCDHGA3;PCDHGA8;PCDHGA4;PCDHGB7;PCDHGA9;PCDHGA6;PCDHGA12;PCDHGA7;PCDHGA5;PCDHGA10	4.97530866372e-08	0.008320265406260503	9
UPK3BL1;TMX2	0.0219924629619	0.0219924629619	1
LCP1;FERMT1	0.0499622784796	0.0499622784796	2
ZNF358;ZNF687	1	1	0
NFS1;ISCU	0.0173623722658	0.032567687437466665	3
BLOC1S4;BLOC1S6;BLOC1S1;BLOC1S3;BLOC1S5;SNAPIN	8.30664341542e-20	0.007041962381800314	83
FOXG1;FOXK1	0.00521545970739	0.015572177781075	4
FKBP14;FKBP7	0.0499622784796	0.0499622784796	1
SPEN;RBPJ	1.57272344749e-06	0.016706318281681145	6
DTL;DDB1;CUL4B;GPS1;COPS2	9.42210695977e-18	0.0068687687020767	46
AURKAIP1;MRPS7	0.00588355841705	0.006094696539875001	4
ZSCAN29;ZKSCAN5;ZSCAN20;ZNF215;ZSCAN22;ZNF394;ZNF449;ZSCAN23;ZSCAN30;ZSCAN18;ZNF213;ZKSCAN4;ZNF197;ZKSCAN3;SCAND1;ZSCAN16;ZSCAN32;ZNF232;ZNF174;ZBED9	5.32974479059e-16	0.003205296491513608	59
OASL;STK24;MAP2K3	1	1	0
AKTIP;FHIP1B;HOOK3;HOOK2;HOOK1	9.42210695977e-18	0.02052094587951363	32
TMEM126B;MTFP1;SLC25A52;SLC25A24;SLC25A25;SLC25A33	3.56992311536e-06	0.0007624654287094874	4
NAT14;ADCK2;C1orf43;CCDC167;RNF149;SLC27A3	1	1	0
H2AC20;H2AC21;H2BC12;H2BC11;MACROH2A2;GLYR1;H2AZ1	4.34503806886e-11	0.009596086377681732	226
SLC5A3;ST7;TMEM143;ST7L;TMEM223;TMEM161B;TMEM39B;TMEM164;TMEM68;DPY19L1;SLC35F1;LMBRD2;TMEM186;SLC35F5;PCNX3;TLCD4;SLC35F2;RETREG3;PIGO;ERMP1;LPCAT3;DPY19L4;FAM189B;PIGQ;TMEM94;MFSD9;TMEM62;ALG9;TMTC3;SOAT1;LPCAT4;DPY19L3;SLC44A5;CERS2;ALG11;GPAT4;ZDHHC18;CERS6;ALG12;ANO10;LCLAT1;FADS1	1.31323794379e-09	0.01072468406531529	34
ALDOC;ALDOA;ALDOB	5.7175010824e-08	0.009269862838625603	51
BCL2L10;BAX	6.60543847944e-05	0.027128292240262055	7
HOXB7;HOXA7	1	1	0
CPNE6;CPNE4	1	1	0
GPSM2;INSC	4.71817034246e-06	4.71817034246e-06	1
ARCN1;COPZ2;COPE;COPB2;COPA;COPB1;COPZ1	1.6966079848e-18	0.001238192910191749	43
OSGEP;LAGE3;TP53RK	7.92154352445e-10	0.011427143799957412	83
DYRK2;MAPK4	1	1	0
SGPP2;RNF185	1	1	0
ZDHHC7;ZDHHC3	1	1	0
FAM126B;TTC7B;FAM126A	1.88710970611e-05	0.018193033630466274	4
SF3A2;SF3A3	4.71817034246e-06	0.01405216247266379	12
PTPN2;ADRM1	1	1	0
ADAM23;IL17RA	0.0499607057562	0.0499607057562	1
MOXD1;TTMP	1	1	0
DHX32;SSX7	1	1	0
KDM2B;BRIX1	1	1	0
BRF1;ZNF324	0.0499622784796	0.0499622784796	1
CEP70;HAUS1	0.00358266401337	0.013270116208741668	12
UGGT2;UGGT1	0.000298817455022	0.011996749587635	9
PSMB7;PSMA2;PSMA5;PSMA4;PSMB6;PSMA6;PSMA8;PSMB9;PSMB10;PSMB3;PSMB5;PSMB2;PSMA3;PSMA7;PSMB4;PSME1;PSMA1;PSMB1	1.40953256202e-48	0.0021476536289557063	530
MSI1;CELF5	0.038311658058	0.038311658058	1
HOMER1;HOMER2;HOMER3	2.62005052071e-06	0.011499859114065189	17
STIM1;STIM2	0.00225099676955	0.017368994438688574	7
HNRNPUL2;DDX54	1	1	0
SUPT6H;CREBBP	1.57272344749e-05	0.04100269181303054	9
HNRNPR;DHX9;ILF3;NCL	1.23446796518e-11	0.017029696517333485	58
SLC25A10;COX20;SLC25A12;SFXN4;SLC25A29	0.000446288906693	0.016597900542519906	11
CIAO1;CIAO2B	4.71817034246e-06	0.011073196299643194	9
MAPK11;MAPKAPK3;MAPKAPK2	6.53527340768e-08	0.0057193479791036545	51
ARHGEF5;PRKD2	0.0441186556599	0.0441186556599	2
TSC22D3;RPS6KA4	1	1	0
ANAPC10;ANAPC2;CDC26;ANAPC4;ANAPC1;ANAPC5	2.88806261366e-16	0.0033330740080428196	101
MGAT4C;B4GALT6;CHSY3;B4GALT5;MAN2A2;LARGE2;GALNT12	3.48667790006e-08	0.008148778658261871	35
CILP2;PXDN;C1RL	1	1	0
RIC8B;DNAJB4	1	1	0
UBP1;MCMBP;TFCP2;ERF	1	1	0
GALNT18;GALNT5;GALNT14;B4GALT4;NDST1;LARGE2;MAN2A2;GALNT12;CHPF2;B3GNT2;B4GALT3	6.6794787884e-11	0.0022764921692593827	46
TPST2;GALNT13;NDST2;GLCE;NDST1;GALNT18;GALNT6;PXYLP1;GALNT12;B4GALT4;B3GNT2;MANEAL;CHSY3;CHST10;GALNT7;LARGE2;GLT8D2;CHPF2;TPST1;ST3GAL4;B4GALT6;B4GALT7;MGAT1;B4GALT3;CHSY1;MAN2A2;GALNT10;B4GALNT3;GALNT16;HS6ST2;MGAT5;ST6GALNAC4;ST3GAL6;C1GALT1C1;CHST14;CHST3;ST6GALNAC3;CHST7;FUT8;B4GALNT4	7.17458263742e-41	0.0025508606578199017	122
TRPC3;TRPC7	1.57272344749e-06	0.010106714054413043	16
ADH1A;ADH1B	2.29452073496e-05	0.007112459673756861	18
CFHR5;TMPRSS2	0.0386477252339	0.0441672643928	2
NOTO;NKX2-4	1	1	0
RNF6;TADA2A	1	1	0
RUNDC3A;RAP2A	0.0218944438225	0.031015233274966664	3
EPCAM;CLDN7	0.0499622784796	0.0499622784796	3
PROC;MUC7	1	1	0
TSHZ2;PBX3;TSHZ1	1	1	0
FOXR1;MBTD1	1	1	0
NOTCH2NLC;KLK8	0.0499622784796	0.0499622784796	1
NUP214;NUP88	0.000638525719679	0.007092184687856213	56
PPP1CB;PPP1CA;PPP1CC	4.74817318856e-07	0.00528874308680658	53
POT1;TINF2;ACD	7.92154352445e-10	0.0077955368728228665	109
PCF11;CLP1	0.000188726813698	0.011248121711877666	9
UNC119B;NPHP3	1.57272344749e-05	0.010060187652408301	3
ZNF26;ZSCAN20;ZNF394;ZSCAN30;ZNF213;ZNF197;ZKSCAN4;ZNF232;ZNF500;ZKSCAN3;SCAND1	2.51111244901e-07	0.007931560696087312	27
KANK3;TLK2	1	1	0
FH;DBT	0.0386477252339	0.046205723677116665	6
ABHD15;PCYOX1L	1	1	0
LILRB2;PTPRD	1	1	0
DEFA1B;ZG16B	1	1	0
ALCAM;CD6	0.0011108069785	0.01363417167855	2
ALOX15B;NIBAN2;UGP2	1	1	0
TOE1;NMNAT1	0.0441674382201	0.04706485834985	2
ACTL6A;SMARCC2;SMARCA4;SMARCB1;ARID1A;SMARCC1;SMARCE1;SMARCD3;SMARCD2;SMARCA2;DPF3	2.24084950036e-28	0.006316723015205558	449
SIX4;SIX5;ZFHX4	0.0425860079769	0.0425860079769	1
SCARB1;SMPD2	0.0249811392398	0.039352491248933336	3
C17orf75;FAM91A1;TBC1D23	7.48585863061e-07	0.002554798786317924	3
TRIP12;PWWP3A	1	1	0
ATP1A1;ATP1A2	2.33695857928e-05	0.00943144838277909	46
CDK17;CDK18;CLK1;MAP3K20	1	1	0
PARP14;DGKA;WNK2;ARHGEF1;DOCK5;PPIP5K1;AKAP10	0.00308319842266	0.033425356182412005	5
RUVBL2;INO80D;INO80C;INO80B;INO80;INO80E;ACTR8;RUVBL1;NFRKB;MCRS1;ACTR5	1.38717644668e-35	0.002918865646089827	56
RPS7;RPS4Y1;RPS15A;RPS23;RPS4X;RPS17;RPS5;RPS18;RPS26;RPS13;RPS14;RPS20;RPS19;RPS9;RPL19;RPS3;RPS3A;RPS2;RPLP2;RPS15;RPSA;RPL26;RPS10	7.44982652508e-54	0.004725704408317429	486
GLCE;MGAT2;MANEAL;GALNT16;HS2ST1;GALNT12;FAM20B;MAN2A2	4.96045626292e-07	0.011631805449127681	17
HS6ST2;UST;CHST11;C1GALT1;GALNT16;GLCE;MGAT1;B4GALT6;B4GALT5;TPST2;CHSY1;B4GALT7;PXYLP1;B4GALT3;MAN1A1;NDST1;GALNT18;MAN2A2;GALNT6;B4GALT4;GALNT7;MANEAL;CHSY3;ST8SIA4;LARGE2;CHST14;B3GNT2;NDST2;ST3GAL6;MGAT5;GALNT12;CHPF2;GLT8D2;CHST10;MGAT2;TPST1;GALNT13;CHST7;CHST3;ST6GALNAC4;ST6GALNAC3;ST3GAL4;C1GALT1C1;EXT1;GALNT10;FUT8;EXT2;MAN2A1	6.97208969803e-59	0.003944293895409554	164
RIT2;RIT1	4.71817034246e-06	0.005080683097117865	4
KRT4;KRT13	0.0103092021983	0.0217224562567	3
ZNF451;OPLAH	0.0249811392398	0.040888355358225	4
MLX;MLXIPL;MNT	0.000132081044187	0.012255078709905286	7
ROPN1;ROPN1B	0.000396326308767	0.000396326308767	2
SUCLG2;SUCLG1	1.57272344749e-06	0.013038995790092416	16
TBC1D3G;GEM	1	1	0
RNASE1;RNH1	0.0499607057562	0.0499607057562	1
PLP1;GPR152	0.0386477252339	0.04807651960531667	6
CUL5;ASB9	9.43634068492e-06	0.02586226169006164	3
MARCHF1;NDFIP2	1	1	0
CREBBP;NCOA2	9.43634068492e-06	0.018179229602824507	28
KRTAP12-2;KRTAP9-8;KRTAP9-3;KRTAP3-2;KRTAP4-2;KRTAP10-5;KRTAP10-8	3.09655046174e-12	0.0022341269266178882	20
MMACHC;USP34	0.0249811392398	0.039443791983766664	3
SF1;PPIL2	0.015302599144	0.015302599144	1
PDGFC;PLXNB2	1	1	0
STIMATE;CDS1	0.0499607057562	0.0499607057562	1
PGBD5;PUS7	1	1	0
CPD;ENPP4	1	1	0
RPN1;DDOST;MLEC	3.1450508178e-05	0.0058778146441003905	11
P3H4;P3H3	0.0110971366455	0.0110971366455	1
PAQR3;TPST2	0.0499607057562	0.0499607057562	4
ARHGAP32;SRGAP2	1	1	0
ADAMTS17;ADAMTS2;ADAMTS15	9.10977505312e-07	0.0027375088906446856	8
MTOR;MLST8	4.71817034246e-06	0.009473107298239924	62
ACVR2B;ACVR2A;ACVR1;ACVR1B;TGFBR1	1.24654475078e-13	0.010805601213937782	68
