Complexes(Gene Name)	virus-related-Gene	Percentage(|virus-related-Gene| / |complex|)
SRP9;SRP19	1	0.5
NARS2;PDK2;IARS2;LONP1;DARS2	1	0.2
RIPK1;TNFRSF1A	1	0.5
OCIAD1;DCAKD	1	0.5
NLRX1;CYP24A1	1	0.5
HMOX1;HMOX2	1	0.5
ALG8;PEDS1;TMEM39A;PGAP1;PIGB;POMT2;ALG9;LMF2;ALG12	1	0.111111111111
XKR8;TMEM68;ST7;TMEM245;TMEM161B;TMEM164;RFT1;LMBRD2;SLC39A1;SLC35F1;TMEM186;SLC35F2;TLCD4;SLC35F5;LPCAT3;ERMP1;ATP13A3;SC5D;RETREG3;TMEM161A;SLC5A3	3	0.142857142857
GLCE;NDST1;B4GALT4;GALNT6;GALNT18;LARGE2;MAN2A2;GALNT12;CHPF2;MGAT1;B3GNT2;B4GALT3;NDST2;GALNT10;CHSY3;B4GALT6;PXYLP1;ST8SIA4;CHST14;CHST10;GALNT7;ST3GAL6;CHST3;ST6GALNAC4;HS6ST2;TPST2;ST3GAL4;MANEAL;ST6GALNAC3;MGAT2;CHST7;GALNT13;B4GALT7;TPST1;C1GALT1C1;CHSY1;GALNT16;MGAT5;GLT8D2;FUT8;MAN1A1;EXT2;EXT1;B4GALT5	2	0.0454545454545
RABIF;RAB1A;RAB1B	1	0.333333333333
FKBP14;FKBP7	1	0.5
AKTIP;FHIP1B;HOOK3;HOOK2;HOOK1	1	0.2
NAT14;ADCK2;C1orf43;CCDC167;RNF149;SLC27A3	1	0.166666666667
SLC5A3;ST7;TMEM143;ST7L;TMEM223;TMEM161B;TMEM39B;TMEM164;TMEM68;DPY19L1;SLC35F1;LMBRD2;TMEM186;SLC35F5;PCNX3;TLCD4;SLC35F2;RETREG3;PIGO;ERMP1;LPCAT3;DPY19L4;FAM189B;PIGQ;TMEM94;MFSD9;TMEM62;ALG9;TMTC3;SOAT1;LPCAT4;DPY19L3;SLC44A5;CERS2;ALG11;GPAT4;ZDHHC18;CERS6;ALG12;ANO10;LCLAT1;FADS1	6	0.142857142857
ADAM23;IL17RA	1	0.5
UGGT2;UGGT1	1	0.5
