Complexes(UniProt IDs)	Min-p-value	Avg-p-value	Number-of-resources
P54855;Q9Y4X1;Q6UWM9	2.86994913245e-05	0.00450964667634423	17
A0A0C4DFN2;P35557	0.000638525719679	0.012368555686114223	9
Q68CK6;Q08AH3	1.57272344749e-05	0.015258197441782232	18
Q8NG76;Q8NG77	0.000864811338578	0.0150100259434095	4
Q9NY56;Q9NPH6	Null	Null	0
O00292;O75610	1.91210061247e-05	0.0006540757587432333	9
P36959;Q6PKC0	Null	Null	0
Q9UNW9;P51513	Null	Null	0
Q8NHR7;Q3KP22	0.000396326308767	0.0009058887057525714	7
O75310;P36537;Q9BY64	3.75705357687e-08	0.007841226692922556	30
Q09428;O60706	9.43634068492e-06	0.021380502565345988	19
Q96J65;Q96J66	9.10183867719e-05	9.10183867719e-05	1
Q8IZJ0;Q8IU54	1.56444595566e-05	0.0019480896627016	6
P41439;P14207	4.09992733207e-05	0.015763118372409672	7
P19876;P09341;P19875	5.20450790228e-07	0.00798466992739431	44
Q8NGL6;P58180	Null	Null	0
Q5VU92;Q5VW00	0.0447314549968	0.0447314549968	1
P56704;P56703	0.000206854520804	0.006994653967763939	33
P18507;Q8N1C3	4.79691497852e-05	0.013607006380889972	17
Q13507;Q9HCX4	1.57272344749e-06	0.010106714054413043	16
Q01064;Q14123;P54750	1.58430870489e-09	0.002467114386468254	30
P0DMU9;Q5HYN5	0.047559157052	0.047559157052	2
Q9NXZ2;Q86TM3	Null	Null	0
Q6NZ63;Q9UHE8	Null	Null	0
P17752;Q8IWU9	9.43634068492e-06	0.010345024643118414	25
Q02846;P51841	3.7719331455e-05	0.018720816094774217	14
Q5R3F8;P0C7U0	Null	Null	0
Q96M98;Q5JSS6	Null	Null	0
Q14831;Q14833	1.25155676453e-05	0.01647797163628027	16
P35913;P16499	3.7719331455e-05	0.014461446481459672	32
O95936;Q5XKR4	Null	Null	0
Q9NP95;P31371	4.71817034246e-06	0.003922194633680377	80
P37802;Q9UI15	Null	Null	0
P20815;P08684;P24462	7.48585863061e-08	0.006506772023428678	49
P07477;P35030;Q8NHM4	0.000213890388858	0.00514808537562	7
P07316;P07315	3.61863151483e-05	0.009738171386900116	6
P05451;P48304	0.0023779578526	0.0214016206734	3
P09972;P04075;P05062	5.7175010824e-08	0.009269862838625603	51
P00736;P09871	Null	Null	0
P08684;P20815	2.71170632314e-05	0.013875817059357073	38
P98187;Q9HCS2;P78329	2.21803218685e-08	0.006821883236176991	35
P01210;P01213	0.00329224164765	0.013841671929354999	4
P07327;P00325	2.29452073496e-05	0.007112459673756861	18
O75019;Q8NHL6;Q8N6C8	0.000369130124131	0.0006169707313545	2
P13929;P06733;P09104	7.48585863061e-08	0.008022875790305372	50
P24462;P20815	0.000135297601958	0.007727103001167876	16
Q76KX8;Q9UPQ3	Null	Null	0
P33260;P33261;P11712;P10632	2.89987747457e-10	0.00409565043818886	63
P16233;P54317	9.43634068492e-06	0.010772926485749328	8
Q9Y5I1;Q9Y5I2;Q9H158;Q9Y5I0;Q9UN73;Q9Y5H8;Q9Y5H6;Q9Y5H9;Q9UN74;Q9UN72;Q9UN75;Q9Y5H5;Q9Y5I3	1.20816414232e-18	0.004464249814112104	42
P01241;P0DML2;Q14406	3.58730645465e-07	0.01004974739112146	35
Q9H158;Q9Y5I2;Q9Y5I0;Q9UN73;Q9Y5H8;Q9Y5H6;Q9Y5I1;Q9Y5H9;Q9UN74;Q9UN72;Q9UN75;Q9Y5H5	3.27846273856e-16	0.005153815787609982	36
Q86UU0;Q9BRQ0	0.00110562458358	0.01762551167597	4
P29466;Q5EG05	0.00999245569595	0.0196005861728625	4
Q9NY84;O95497	2.59662064364e-05	0.0036269009277241	4
P01571;P01568;P05013;P01570;P01562;P01569;P05014	1.00289389976e-15	0.002150991191887346	135
Q9BPX5;O15143;O15144;O15511;P59998;O15145;Q92747;P61158;P61160	2.8237905281e-28	0.004109090430116024	138
P33261;P11712;P33260	3.8379878376e-07	0.00640589593515099	51
Q96A04;Q8N485	Null	Null	0
Q15399;Q9Y2C9	4.72810333265e-05	0.011161074101366495	36
Q9Y6L6;Q9NPD5	3.14544689497e-06	0.013617123966485028	32
Q6ZQX7;Q8NEM8	Null	Null	0
O60391;Q8TCU5	4.79691497852e-05	0.009637666155156011	20
Q9Y5H8;Q9H158;Q9Y5I0;Q9UN73;Q9Y5H6;Q9Y5I1;Q9UN74;Q9Y5H9;Q9UN72;Q9UN75;Q9Y5H5;Q9Y5I3	2.79511442229e-19	0.005355986736671816	35
Q12857;O00712;Q14938;Q5VW31	7.0145267909e-07	0.016972353021735692	19
Q9H999;Q8TE04	2.59662064364e-05	0.017637252812961003	14
Q96N28;Q9Y3B1;O43715	2.62005052071e-06	0.0037815657436716917	11
Q86UR5;Q9UQ26	0.0023779578526	0.0132273905551	8
O75821;Q99613;Q9UBQ5;Q13347;B5ME19;Q9Y262;O00303;O15371;P55884;O15372;Q7L2H7;P60228	1.52571786151e-34	0.011868651442513712	144
A6NMB1;Q96LC7	0.0145723312233	0.0145723312233	1
Q96B49;Q9P0U1;Q8N4H5;Q969M1	1.18806319213e-08	0.0028727056045281295	14
Q92599;Q15019;Q8IYM1;Q16181;O43236;Q14141;Q9NVA2;Q8WYJ6;Q9UHD8;Q9UH03;Q99719;Q6ZU15	1.21117963658e-36	0.003375906436708581	47
Q8NE35;Q7Z5Q1	0.000396326308767	0.009301026813416099	10
P41091;P05198	3.30271923972e-05	0.004466217179887701	21
O00712;Q12857;Q14938	7.0145267909e-07	0.016972353021735692	19
P51843;Q13285	0.000141545110274	0.01038653468227699	86
P59998;O15145;O15143;O15144;O15511;P61158;Q9BPX5;P61160	4.48333222147e-24	0.0031676693240912683	129
P01568;P01571;P05013;P01570;P01562;P05014	8.00954468436e-13	0.003874321245142688	115
P00338;P07195;Q6ZMR3	1.54123942221e-07	0.0049372108960284156	18
Q06520;O43704	3.65037389653e-05	0.013997756025878914	8
P10632;P11712;P33260	3.8379878376e-07	0.005972224871523372	57
P31512;Q01740	3.47654656813e-06	0.0016361323458912826	4
