Multifunctions-protein	Number-of-participating-complexes 
Q4VXU2	3
Q00537	2
P40426	2
Q96CS4	2
Q9Y6E0	3
Q9BZG8	2
Q6NX45	2
Q6P1A2	3
Q6ZMG9	2
Q96G25	2
Q9Y5A6	2
Q08170	2
Q00765	2
Q66K89	2
Q9Y2K2	3
O14686	2
O75437	2
P28331	2
Q6ZW49	3
Q6KCM7	2
Q96BR6	2
Q96BR9	4
Q5TKA1	2
Q3T906	2
Q96EZ8	2
Q6IQ32	2
Q9NPI1	2
Q5RI15	2
Q96JJ3	2
Q9UI26	2
Q7RTN6	2
P01903	2
P09228	2
P57086	2
Q8N823	2
Q9Y3S1	2
Q8N3U4	2
Q9Y5E7	2
Q96C28	2
Q9ULD5	2
Q15025	2
Q9BY32	2
P62987	2
Q9BVG9	2
Q9UI42	2
Q8N587	2
Q9NUP1	2
Q9UNA1	2
P61371	2
Q96GE4	2
Q92903	2
Q9UBC1	2
Q6V9R5	2
Q9P275	2
O95926	2
E7ETH6	2
Q9NRR4	2
Q92545	2
Q96SB4	2
Q9Y5G2	2
Q9Y5G0	2
Q9Y5G4	2
Q2M1K9	2
Q9Y2R4	2
Q96S44	2
B2RU33	2
Q9H7F0	3
Q9Y320	2
O43167	3
Q9Y619	2
Q13427	2
Q63HK3	2
Q7L592	2
Q9UQC2	3
Q9UQ88	2
Q9BV35	3
Q5T1Q4	2
O75251	2
O95450	2
Q9NX70	2
Q8IXK2	2
Q75QN2	2
Q9H7D0	2
Q9UM13	2
Q9Y305	2
P15923	3
Q15935	2
Q8WYQ5	3
Q9NWZ5	3
Q6ZN06	2
Q9BV10	2
O95678	2
A2RRD8	3
Q86TM6	2
Q3KP31	3
P01562	2
P62753	2
Q96P11	2
Q8WVY7	2
Q16363	2
Q9UDX5	2
Q15434	3
Q9H6D7	2
Q8NAF0	2
Q96S86	2
O15111	2
Q9H7B4	2
P07437	2
Q9NTJ5	2
P58317	2
O43405	2
P49366	2
Q96DF8	2
P30532	2
Q15418	3
P06727	2
Q93063	2
Q9BT25	2
Q92626	2
Q14592	2
Q14593	2
Q14590	2
O60282	2
Q96MH6	2
P08621	2
O95299	2
O43791	2
Q16851	3
Q8IXQ5	2
Q9NW64	2
Q9Y2Z2	2
P00846	2
Q9C0E2	2
Q9BZJ0	2
O60779	3
Q99986	2
Q9BSJ6	2
Q9NRG4	2
Q5TA45	2
Q13131	2
P52737	2
Q9BWF3	2
Q9NQZ8	2
O75533	2
Q15208	3
Q6Y1H2	2
Q9NRX4	2
Q99661	2
Q9H161	2
P31152	3
P48443	2
O15085	2
Q9Y385	2
Q5SVS4	2
A0PJW6	4
Q96FE5	2
O94776	2
P17019	2
P17014	2
P54646	2
Q14498	3
P45984	9
Q86VU5	2
Q8TF39	3
Q9NRC1	3
Q8TF32	2
Q99496	3
P29144	2
Q7Z628	2
P61201	2
Q9P2E5	2
Q9BRV8	2
O15381	2
Q9HBE1	3
Q9Y265	3
P09669	2
P00414	2
Q9H8G1	2
O43776	2
Q96K58	2
O75306	2
Q8WV83	3
Q13098	3
Q8N972	2
P23528	2
P19388	3
P19387	2
Q3KNV8	2
P62258	2
Q8NBT0	2
Q9NP81	2
Q7L2R6	2
Q8TAU3	2
O95801	2
Q9UII5	3
P61457	2
P49759	2
P49674	4
Q9P2G9	2
O15015	2
Q6ZT21	2
Q9NZR2	2
Q03936	2
Q9BU23	2
P68133	2
Q8WVM7	2
Q8WVM0	2
O75494	2
O75676	6
Q8IZC7	2
P04844	2
Q96KA5	2
O00744	2
Q9Y6N5	2
Q9UJ04	2
Q5VWQ0	2
Q9UNS2	2
Q7L3S4	2
Q8NEZ4	2
Q9UBU6	2
P61026	2
Q96DU9	2
Q9H0K1	2
Q5T440	2
Q9H6U8	2
Q8NBM4	2
Q8TEP8	2
P08579	2
Q07955	5
Q9P253	2
Q9UBW8	2
P50552	2
O94921	2
Q9NZ32	2
P11441	2
Q96FV9	2
P34059	2
P35900	2
Q96CP7	2
O75845	2
P09012	2
Q8IU81	3
P0CB38	3
P06899	2
Q13243	2
Q9H7X3	2
Q7Z5Y6	2
Q9Y2U5	3
Q8N8Z6	2
Q9BXA9	2
Q9UBL3	2
P10075	2
Q15776	2
Q96RR4	2
Q9HD20	3
O96020	3
Q9H765	2
P01036	3
P01037	2
Q9GZS1	2
Q6MZM9	2
Q8TBC5	2
Q15526	2
O00217	2
Q9UQ35	2
P31025	2
O43909	2
P18847	2
Q96RG2	2
P59923	2
Q9UEG4	2
Q9NX20	2
Q9BRB3	2
O14771	2
Q13618	2
P37287	2
Q6NXT4	2
Q6IQ22	2
Q15031	2
Q6P5S2	3
P0DJI9	2
Q02386	2
Q8IU85	2
Q8TBZ8	2
Q6UUV7	2
P01871	2
Q68DH5	3
P18621	2
Q92888	4
P53778	2
P35610	2
Q92551	2
Q5JT25	2
Q9Y3P4	2
P38936	2
Q8IUH3	4
Q9UJY1	2
P11940	2
Q96S53	2
Q92769	2
Q86U42	2
Q92766	3
O43172	2
Q2TAA5	2
Q96PQ6	2
Q15653	3
Q9Y673	2
Q53EU6	2
Q49A26	2
Q99583	3
Q9Y5H3	2
Q9NX61	2
O14733	3
Q8N8R3	3
P32519	2
Q9GZU3	3
Q9H9B4	2
Q96MM7	3
Q13451	2
P19838	2
Q9H7Z6	2
Q9P2J8	3
P28340	2
Q9H116	2
Q643R3	3
Q6PI48	2
P51812	2
Q9NYL2	2
Q16378	2
Q6P4A7	3
Q8IYS2	2
Q14232	2
Q6P2Q9	2
A6NFI3	2
P30307	2
P49915	2
Q10469	2
Q01658	2
Q9NTI5	2
O15534	2
Q8N4J0	2
Q9NPL8	2
Q9ULM2	2
P60842	2
Q8TDD1	2
Q9UFN0	2
Q8TCN5	2
Q9H9F9	2
Q9H300	3
Q9UHV9	2
Q6ZN55	3
Q86UL3	2
Q969V3	2
Q5JXX7	3
Q9NSV4	2
Q9ULK4	2
P49760	2
Q69YN4	2
Q01804	4
P10276	2
A0AV96	2
Q9BXW7	2
Q9NRF9	2
Q562R1	2
Q7Z388	2
Q969T4	2
Q14353	2
Q09028	4
Q969L4	2
Q96DA0	3
Q9H6A9	3
Q9HA92	2
Q8TDH9	2
Q96AA3	3
Q8IVW6	2
Q92618	2
O75746	2
P61964	3
Q8N1G2	4
Q96ME7	2
Q16659	2
Q96B77	2
Q9BV86	2
Q5JTZ9	2
P57058	2
P02647	2
Q9BRL6	2
O15514	2
Q8NE86	2
Q8TBP6	3
Q9C0F1	2
Q9NW07	2
Q7LG56	2
Q6N075	2
Q96HW7	2
Q9H5H4	3
P17020	2
P61218	2
Q9H0N0	2
A8MTY0	3
P0CJ79	2
P06493	2
Q9Y6M1	2
Q14692	2
P47928	2
Q9NSC2	2
P60331	2
Q6PFW1	4
Q14738	3
Q16594	2
Q9UK73	2
P46976	2
Q9UNP9	3
P61254	2
O95905	2
Q13620	2
P51688	2
Q9Y230	2
Q5HY98	3
O75489	2
Q96JB3	3
Q2PZI1	2
Q9ULQ0	2
Q9BYC5	2
Q13188	2
P52434	2
Q7Z2K6	6
O75290	2
P49643	2
Q96N38	2
P38435	3
Q8NAT1	3
P18510	2
Q8TDW4	2
O60506	2
O60507	2
O75467	3
O75461	3
Q8TEQ8	5
P00395	2
Q13043	2
O95684	2
Q96MX3	2
Q96GM8	2
Q5U3C3	2
O95870	3
Q9NYW8	2
Q96FW1	2
O43896	2
Q96SY0	2
Q68EA5	2
Q6PCB5	2
Q6NUK1	2
O43303	3
Q96PZ0	2
Q96MV1	2
