Complexes(UniProt IDs)	virus-related-protein	Percentage(|virus-related-protein| / |complex|)
P49458;P09132	1	0.5
Q96I59;Q15119;Q9NSE4;P36776;Q6PI48	1	0.2
Q13546;P19438	1	0.5
Q9NX40;Q8WVC6	1	0.5
Q86UT6;Q07973	1	0.5
P09601;P30519	1	0.5
Q9BVK2;A5PLL7;Q9NV64;Q75T13;Q92521;Q9UKY4;Q9H6U8;Q9BU23;Q9BV10	1	0.111111111111
Q9H6D3;Q96MH6;Q9NRC1;Q9H330;Q8NDZ6;Q5U3C3;Q96AA3;Q68DH5;Q9NY26;Q5T1Q4;Q96B77;Q8IXU6;Q96MV1;Q8WV83;Q6P1A2;Q7Z2K6;Q9H7F0;O75845;Q86VR2;Q9NX61;P53794	3	0.142857142857
O94923;P52848;O60513;Q8NCL4;Q6P9A2;Q8N3Y3;P49641;Q8IXK2;Q9P2E5;P26572;Q9NY97;O60512;P52849;Q86SR1;Q70JA7;Q9UBX8;Q8TE99;Q92187;Q8NCH0;O43529;Q86SF2;Q9Y274;Q7LGC8;Q9H4F1;Q96MM7;O60704;Q11206;Q5VSG8;Q8NDV1;Q10469;Q9NS84;Q8IUC8;Q9UBV7;O60507;Q96EU7;Q86X52;Q8N428;Q09328;Q9H1C3;Q9BYC5;P33908;Q93063;Q16394;O43286	2	0.0454545454545
P47224;P62820;Q9H0U4	1	0.333333333333
Q9NWM8;Q9Y680	1	0.5
Q9H8T0;Q8N612;Q86VS8;Q96ED9;Q9UJC3	1	0.2
Q8WUY8;Q7Z695;Q9BWL3;Q9P0B6;Q8NC42;Q5K4L6	1	0.166666666667
