Complexes(UniProt IDs)	drug-target-protein	Percentage(|drug-target-protein| / |complex|)	
Q13546;P19438	1	0.5	
Q9NWM8;Q9Y680	1	0.5	
Q9NYU1;Q9NYU2	1	0.5	
P35658;Q99567	2	1.0	
Q5PSV4;Q9H160;P29374;Q96ST3;Q9H7L9;Q9HCU9;Q09028;Q9H0E3;Q16576;Q92769;Q13547	1	0.0909090909091	
P82930;Q9Y3D5;P82664;Q9Y399;Q9Y2R5;P82932;Q9Y2Q9;P82650;P82921;P82912;O60783;Q9Y2R9;Q9NVS2;P82673;Q96EL2;O15235;Q9Y3D3;Q9Y291;P82933;P82675;Q9Y6G3;Q9NRX2;Q9BYC9;Q9NX20;Q96A35;Q9BYD6;Q9P015;Q96GC5;Q16540;P82663;Q8TCC3;Q5T653;Q96DV4;Q7Z2W9;Q9BQ48;Q9BYD3;Q9NWU5;Q9HD33;P09001;Q9Y3B7;Q9BYD2;Q7Z7F7;O75394;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q6P161;Q8N983;Q9BZE1;Q9NZE8;Q6P1L8;Q8IXM3;Q9BYC8;Q9P0M9;Q4U2R6;Q9NP92;Q86TS9;Q7Z7H8;Q9BRJ2;Q9BQC6;Q9H2W6;Q13084;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3	0.0416666666667	
P78395;Q13617	1	0.5	
Q7Z3K6;Q8N344;Q92769;Q13547;Q8N108	1	0.2	
O75489;P56556;O95139;Q86Y39;O95182;O15239;O96000;O43678;P49821;Q16718;O75438;P03891;O95178;P17568;P19404;P51970;Q9NX14;O75380;O95168;Q9Y6M9;O43920;P03897;O43181;P56181;P28331;O75306;O14561;Q9UI09;O95299;O95167;Q8N183;O00217;O75251	2	0.0606060606061	
Q15370;Q96DX5;Q15369	2	0.666666666667	
Q92769;P51946;P50613;Q13330	1	0.25	
